Health,Age,Gender,White,Mixed,Asian,African,Others,Region,Disability_Type
Very good,Children&Teens,Females,"44,737","3,013","4,498","2,370",550,England & Wales,Limited
Very good,Adults,Females,"2,42,742","6,661","21,618","10,786","2,917",England & Wales,Limited
Very good,Middle aged,Females,"2,06,589","1,493","11,370","4,093","1,149",England & Wales,Limited
Very good,Seniors,Females,"4,37,012","1,399","7,808","4,009",784,England & Wales,Limited
Fair,Children&Teens,Females,"24,140","1,802","2,595","1,483",381,England & Wales,Limited
Fair,Adults,Females,"2,79,492","8,093","27,934","13,300","4,150",England & Wales,Limited
Fair,Middle aged,Females,"3,60,231","2,806","27,019","7,393","2,661",England & Wales,Limited
Fair,Seniors,Females,"8,05,936","2,813","21,963","10,290","2,204",England & Wales,Limited
Bad,Children&Teens,Females,"4,056",325,620,330,111,England & Wales,Limited
Bad,Adults,Females,"65,189","2,283","8,052","3,682","1,449",England & Wales,Limited
Bad,Middle aged,Females,"63,369",843,"7,875","2,058",984,England & Wales,Limited
Bad,Seniors,Females,"75,050",519,"4,727","2,056",491,England & Wales,Limited
Very good,Children&Teens,Females,"39,11,893","2,58,520","4,82,223","2,39,863","61,727",England & Wales,Not_Limited
Very good,Adults,Females,"94,03,561","2,43,758","10,48,977","4,65,672","1,23,554",England & Wales,Not_Limited
Very good,Middle aged,Females,"32,22,224","21,119","1,32,275","67,941","14,380",England & Wales,Not_Limited
Very good,Seniors,Females,"17,93,625","6,279","28,412","17,580","3,314",England & Wales,Not_Limited
Fair,Children&Teens,Females,"34,096","3,355","9,494","3,863","1,186",England & Wales,Not_Limited
Fair,Adults,Females,"4,50,107","14,811","68,118","30,947","7,799",England & Wales,Not_Limited
Fair,Middle aged,Females,"3,58,019","3,361","29,483","11,183","2,578",England & Wales,Not_Limited
Fair,Seniors,Females,"3,53,460","1,812","11,528","7,508","1,116",England & Wales,Not_Limited
Bad,Children&Teens,Females,"3,068",352,"1,032",593,283,England & Wales,Not_Limited
Bad,Adults,Females,"21,089","1,091","4,900","2,569",822,England & Wales,Not_Limited
Bad,Middle aged,Females,"14,063",307,"2,262",973,263,England & Wales,Not_Limited
Bad,Seniors,Females,"15,501",190,"1,465",739,137,England & Wales,Not_Limited
